"national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue.Yes","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk.Yes","oe_constraint.Yes","ppap_risk.Yes","stop_auto_buy.Yes","rev_stop.Yes","went_on_backorder.Yes"
0,8,0,2,3,5,0,3,3,3,2,0,0,0.68,0.58,0,0,0,1,1,0,1
10,8,0,0,0,0,0,0,0,0,0,0,0,0.96,0.94,0,0,0,0,1,0,0
24,8,0,3456,3456,3456,10,39,68,93,7,0,0,1,0.95,1,0,0,1,1,0,1
-55,8,2,428,526,606,25,100,205,387,52,0,0,-99,-99,56,0,0,0,1,0,1
30,8,14,42,84,126,7,56,107,148,24,0,0,0.98,0.92,0,0,0,0,1,0,1
-499,12,350,3452,5044,7188,747,2550,3572,4745,401,0,0,0.49,0.72,525,0,0,0,1,0,1
4095,52,0,0,0,0,29,105,137,193,0,0,0,0.96,0.86,0,1,0,0,0,0,0
27,8,0,0,0,0,3,14,24,42,0,0,0,0.4,0.6,0,0,0,0,1,0,0
4,8,0,10,14,18,3,9,13,20,0,0,0,0.92,0.75,0,0,0,0,1,0,0
1,8,2,26,38,46,8,14,27,42,0,0,0,0.97,0.94,0,0,0,0,1,0,1
366,8,0,0,0,0,0,0,0,0,0,0,0,0.79,0.61,0,1,0,0,1,0,0
4,8,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,0,1,0,0,1,0,0
0,2,0,11,11,11,0,0,0,0,1,0,0,-99,-99,0,0,0,1,1,0,0
6,3,0,4,10,16,0,4,4,4,0,0,0,0.99,0.98,0,1,0,0,1,0,0
9,8,0,0,0,0,1,1,1,4,0,0,0,0.99,0.99,0,0,0,1,1,0,0
233,2,0,0,0,0,0,1,1,1,1,0,0,0.94,0.86,0,0,0,0,1,0,0
5,8,0,0,0,0,0,1,1,2,0,0,0,0.82,0.78,0,0,0,0,1,0,0
10,2,0,12,24,39,1,10,27,37,9,0,0,0.99,0.98,0,0,0,0,1,0,0
20,2,0,0,0,0,0,1,1,1,1,0,0,0.94,0.86,0,0,0,0,1,0,0
13,2,0,5,15,25,10,31,48,58,4,0,0,0.99,0.99,0,0,0,0,1,0,1
5,2,0,13,26,26,1,5,10,18,3,0,0,0.06,0.5,0,0,0,1,1,0,1
0,2,0,15,15,15,0,0,0,0,0,0,0,0.1,0.05,0,1,0,0,1,0,1
-4,8,0,24,41,50,3,6,19,32,5,0,1,0.77,0.74,4,0,0,0,1,0,1
8,8,0,6,17,23,7,13,28,50,4,0,0,0.96,0.94,0,0,0,0,1,0,1
0,8,1,6,6,6,0,4,9,12,0,0,1,0.9,0.89,0,0,0,0,1,0,1
0,10,2,0,0,1,0,0,2,2,0,0,0,0.89,0.9,0,0,0,0,1,0,1
0,12,1,4,7,10,1,3,5,8,0,0,0,0.82,0.79,0,0,0,0,1,0,1
57,8,0,576,768,960,61,184,519,589,101,0,0,0,0,3,0,0,0,1,0,1
0,8,0,2,3,4,1,2,3,3,0,0,0,0.96,0.97,0,0,0,0,1,0,1
2,8,0,38,55,89,12,41,75,98,1,0,0,0.99,0.99,0,0,0,1,1,0,1
5,8,0,15,30,44,6,15,47,61,4,0,0,0.5,0.63,0,1,0,0,1,0,1
0,8,0,3,4,6,2,3,4,5,0,0,0,0.77,0.78,0,0,0,0,1,0,1
20,2,0,45,99,153,16,42,80,111,10,0,0,0.81,0.88,0,0,0,0,1,0,1
0,12,0,3,4,5,1,3,5,5,0,0,0,0.82,0.79,0,1,0,0,0,0,1
0,9,0,22,42,62,6,18,28,38,4,0,0,0.69,0.68,0,0,0,0,1,0,1
1,2,0,10,10,10,1,1,1,1,0,0,0,1,0.99,0,0,0,0,1,0,1
3,2,0,10,16,26,5,8,21,33,1,0,0,0.99,0.99,0,0,0,0,1,0,1
9,8,0,40,60,80,5,18,30,46,6,0,0,0.99,0.86,0,0,0,0,1,0,0
39,9,0,0,0,0,2,14,26,50,0,0,0,0.95,0.81,0,0,0,0,1,0,0
0,8,0,49,49,49,0,0,0,0,0,0,0,0.77,0.78,0,1,0,0,1,0,1
45,8,183,474,822,1104,305,539,884,1182,227,0,0,0.93,0.67,3,0,0,0,1,0,1
49,8,0,0,0,0,0,3,5,5,0,0,0,0.74,0.76,0,0,0,1,1,0,0
236,8,0,0,0,0,0,0,0,0,0,0,0,0.87,0.92,0,0,0,0,1,0,0
0,2,0,16,40,40,0,1,1,1,0,0,16,0.85,0.88,0,1,0,1,1,0,1
